method,implementation,threads,time (s),pi_value,error,samples
Integration,MPI,1,1.761310,3.141593,0.000000,1000000000
Monte Carlo,MPI,1,9.844809,3.141485,0.000107,1000000000
Integration,MPI,2,0.935026,3.141593,0.000000,1000000000
Monte Carlo,MPI,2,5.119256,3.141602,0.000010,1000000000
Integration,MPI,3,0.645186,3.141593,0.000000,1000000000
Monte Carlo,MPI,3,3.519858,3.141572,0.000020,1000000000
Integration,MPI,4,0.462027,3.141593,0.000000,1000000000
Monte Carlo,MPI,4,2.689048,3.141507,0.000086,1000000000
Integration,MPI,5,0.402486,3.141593,0.000000,1000000000
Monte Carlo,MPI,5,2.281581,3.141531,0.000062,1000000000
Integration,MPI,6,0.335992,3.141593,0.000000,1000000000
Monte Carlo,MPI,6,1.894133,3.141540,0.000053,1000000000
Integration,MPI,7,0.406364,3.141593,0.000000,1000000000
Monte Carlo,MPI,7,2.410218,3.141549,0.000044,1000000000
Integration,MPI,8,0.380937,3.141593,0.000000,1000000000
Monte Carlo,MPI,8,2.369738,3.141492,0.000101,1000000000
Integration,MPI,9,0.332838,3.141593,0.000000,1000000000
Monte Carlo,MPI,9,2.150693,3.141509,0.000084,1000000000
Integration,MPI,10,0.289172,3.141593,0.000000,1000000000
Monte Carlo,MPI,10,2.072024,3.141536,0.000056,1000000000
